2018-01-16 20:10:54.8237 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 20:11:03.8268 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 20:11:32.4880 | INFO | Users.Controllers.UsersController | Request PUT with ID = 1 FIO = Krotov Adress = Omsk Phone = 89137651414 IdFines = 2
2018-01-16 20:11:32.5131 | INFO | Users.Controllers.UsersController | Success request PUT with ID = 1 FIO = Krotov Adress = Omsk Phone = 89137651414 IdFines = 2.
2018-01-16 20:12:29.5345 | INFO | Users.Controllers.UsersController | Request GET
2018-01-16 20:14:55.5997 | INFO | Users.Controllers.UsersController | Request GET
2018-01-16 20:15:04.2172 | INFO | Users.Controllers.UsersController | Request GET
2018-01-16 20:47:16.6121 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 20:47:19.7313 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 20:47:19.7895 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 20:50:30.1495 | ERROR | Users.Controllers.UsersController | Error in Statistic service. Deleted data from DataBase. Message:Error in Input Queue
2018-01-16 21:01:02.9120 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:01:04.7667 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 47
2018-01-16 21:01:04.7938 | INFO | Users.Controllers.UsersController | Success request DELETE with ID = 47
2018-01-16 21:02:13.0035 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:02:13.0416 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 21:02:13.0416 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 21:02:47.4681 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:02:47.4681 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 48
2018-01-16 21:02:47.4962 | INFO | Users.Controllers.UsersController | Success request DELETE with ID = 48
2018-01-16 21:03:19.3614 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:06:10.9885 | ERROR | Users.Controllers.UsersController | Error in Statistic service. Deleted data from DataBase. Message:Error in Input Queue
2018-01-16 21:08:23.9844 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:08:24.6767 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 21:08:24.6767 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 21:08:43.2157 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:08:43.2157 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 49
2018-01-16 21:08:43.2289 | INFO | Users.Controllers.UsersController | Success request DELETE with ID = 49
2018-01-16 21:10:25.3209 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:10:25.3320 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 21:10:25.3490 | INFO | Users.Controllers.UsersController | Success POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2018-01-16 21:10:44.0301 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:10:52.4548 | INFO | Users.Controllers.UserInfController | Request GET with OData
2018-01-16 21:10:52.4548 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 50
